language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
107	Svan	15	drive	X (drive) Y	гнать	X (гнать) Y-а		ERG	NOM	TR	TR		maizer-Ø k'umäš-s laxw-te a-Ø-rk'-äl-i	PN-NOM cattle-DAT slope_meadow-ALL PRV:DIST-DO3-drive-VPL-PRS	‘Maizer is driving the cow to the pasture.’			
107	Svan	16	bend	X (bend) Y	гнуть	X (гнуть) Y		ERG	NOM	TR	TR		maizer-d ašxäl-Ø- anː-Ø-i-k'w-e	PN-ERG branch-NOM PRV:PROX-DO3-VER:S-bend-PST	‘Maizer bent a branch.’			
107	Svan	17	tell	X (tell) Y	говорить	X (говорить) Y-у		ERG	DAT	Y	ERG_DAT		maizer-d lile-s x-äː-kw-e	PN-ERG PN-DAT IO3-VER:SUP-tell-PST	‘Maizer told Lile.’			
107	Svan	18	hold	X (hold)Y	держать	X (держать) Y(-а)		DAT	NOM	X	DAT_NOM		maizer-s ši-isga lǝir-Ø x-o-qdaːn-a	PN-DAT hand-INESS book-NOM IO3-VER:O-hold-PRS	‘Maizer is holding a book in his hand.’			
107	Svan	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)		NOM	DAT	Y	NOM_DAT		maizer-Ø gegi-s la-h-xiːdː-a	PN-NOM PN-DAT PRV:SLIGHTLY-IO3-catch_up-PST	‘Maizer caught up with Gegi.’			
107	Svan	20	milk	X (milk) Y	доить	X (доить) Y-а		ERG	NOM	TR	TR		maizer-d pir-Ø an-iː-šg-e	PN-ERG cow-NOM PRV:PROX-DO3-VER:S-milk-PST	‘Maizer milked the cow.’			
107	Svan	21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега) 		ERG	ALL.EL	Y	ERG_ALL.EL		maizer-d nap'ir-te-ka ad-Ø-h-e	PN-ERG bank-ALL.EL PRV:DIST-S3-reach-PST	‘Maizer reached the bank.’			
107	Svan	22	touch	X (touch) Y	дотронуться	X (дотрагиваться) до Y-а		NOM	DAT	Y	NOM_DAT	მოკიდა	maizer-Ø k'edel-s lo-x-gudr-e	PN-NOM wall-DAT PRV:SLIGHTLY.VER:O-IO3-touch-PST	‘Maizer touched the wall.’			
107	Svan	23	fight	X (fight) with Y	драться	X (драться) с Y-ом		NOM	SOC	Y	NOM_SOC		maizer-Ø gegi-caxän Ø-i-q'aːr-iel	PN-NOM PN-SOC S3-VER:S-fight-VPL	‘Maizer is fighting with Gegi.’			
107	Svan	24	be_friends	X (be friends) with Y	дружить	X (дружить) с Y-ом		NOM	SOC	Y	NOM_SOC		maizer-Ø gegi-caxän Ø-i-mpxng-äːl	PN-NOM PN-SOC S3-VER:S-be_comrades-VPL	‘Maizer is friends with Gegi.’			
107	Svan	25	think	X (think) about Y	думать	X (думать) об Y-е (об отце)		ERG	SUPERESS	Y	ERG_SUPERESS		maizer-Ø lile-ži a-Ø-sk'oːr-e	PN-NOM PN-SUPERESS PN-NOM PN-SUPERESS PRV:DIST-DO3-think-PRS	‘Maizer is thinking about Lile.’			
107	Svan	26	eat	X (eat) Y	есть	X (есть) Y		ERG	NOM	TR	TR		maizer-d lisgw-Ø la-l-eːm	PN-ERG apple-NOM PRV:SLIGHTLY-S3-eat	‘Maizer ate an apple.’			
107	Svan	27	fry	X (fry) Y	жарить	X (жарить) Y		ERG	NOM	TR	TR		maizer-d k'almax-Ø an-Ø-t'q'ab-e	PN-ERG trout-NOM PRV:DIST-DO3-fry-PST	‘Maizer fried a fish.’			
107	Svan	28	wait	X (wait) for Y	ждать	X (ждать) Y-а (сына)		NOM	DAT	Y	NOM_DAT		maizer-Ø lile-s x-o-γl-i	PN-NOM PN-DAT IO3-VER:O-wait-PRS	‘Maizer is waiting for Lile.’			
107	Svan	29	forget	X (forget) (about) Y	забывать	X (забывать) об Y-е		DAT	NOM	X	DAT_NOM		maizer-s išgen šuk'w-Ø sga-la-x-äː-šdǝn	PN-DAT other road-NOM PRV:INWARD-PRV:SLIGHTLY-IO3-VER:SUP-forget 	‘Maizer forgot the other road.’			
107	Svan	30	depend	X (depend) on Y	зависеть	X (зависеть) от Y-а		NOM	SUPERESS	Y	NOM_SUPERESS	The lexical part ‘depend’ is not mentioned.	ala-Ø eče-ži l-i	DEM.PROX-NOM DEM.DIST-SUPERESS S3-be	‘This (thing) depends (lit. ‘is’) on that (thing).’			
107	Svan	31	call	X (call) Y	звать	X (звать) Y-а		ERG	DAT	Y	ERG_DAT		maizer-d gegi-s la-x-t'wiːl	PN-NOM PN-DAT PRV:SLIGHTLY-IO3-call	‘Maizer called Gegi.’			
107	Svan	32	get_to_know	X (get to know) Y	знакомиться	X (знакомиться) с Y-ом		ERG	NOM	TR	TR		maizer-d gegi-Ø ešxu zäj-ä sgwebin a-Ø-tir	PN-ERG PN-NOM one year-GEN ahead PRV:DIST-DO3-know	‘Maizer got to know Gegi a year ago.’			
107	Svan	33	know	X (know) Y	знать 	X (знать) Y-а		NOM	DAT	Y	NOM_DAT		maizer-Ø gegi-s x-o-tr-a	PN-NOM PN-DAT IO3-VER:O-know	‘Maizer knows Gegi.’			
107	Svan	34	play#instrument#	X (play) Y	играть	X (играть) на Y-е		NOM	SUPERESS	Y	NOM_SUPERESS		maizer-Ø git'ara-ži a-Ø-šwm-i	PN-NOM guitar-SUPERESS PRV:DIST-play-PRS	‘Maizer is playing the guitar.’			
107	Svan	35	avoid	X (avoid) Y	избегать	X (избегать) Y-а		NOM	DAT	Y	NOM_DAT		maizer-Ø gegi-s x-o-käb-i	PN-NOM PN-DAT IO3-VER:O-avoid-PRS	‘Maizer avoids Gegi.’			
107	Svan	36	make	X (make) Y	изготовить	X (изготовить) Y		ERG	NOM	TR	TR		maizer-d säw-Ø än-Ø-sq'-i	PN-ERG firewood_sledge-NOM PRV:PROX.VER:S-make-PST	‘Maizer made a firewood sledge.’			
107	Svan	37	make_fun	X (make fun) of Y	издеваться	X (издеваться) над Y-ом		NOM	DAT	Y	NOM_DAT		maizer-Ø gegi-s x-e-lgac-äːl	PN-NOM PN-DAT IO3-VER:R-joke-VPL	‘Maizer is making fun of Gegi.’			
107	Svan	38	have	X (have) Y	иметь	X (иметь) Y		DAT	NOM	X	DAT_NOM	This root is associated with animate possessees (vehicles often tend to be included in this domain).	maizer-s x-a-q'-a mankana-Ø	PN-DAT IO3-VER:SUP-want-PRS car-NOM	‘Maizer has a car.’			
107	Svan	39	look_for	X (look for) Y	искать	X (искать) Y(-а)		NOM	DAT	Y	NOM_DAT		maizer-Ø k'ǝl-ar-s x-e-txeːl-i	PN-NOM key-PL-DAT IO3-VER:R-look_for-PRS	‘Maizer is looking for (his) keys.’			
107	Svan	40	paint	X (paint) Y	красить	X (красить) Y		ERG	NOM	TR	TR		maizer-d qwila-Ø ad-Ø-γäp'	PN-ERG stone_fence-NOM PRV:DIST-DO3-paint	‘Maizer painted the stone fence.’			
107	Svan	41	bite	X (bite) Y	кусать	X (кусать) Y-а		ERG	DAT	Y	ERG_DAT		žeγ-d maizer-s a-x-qäp	dog-ERG PN-DAT PRV:DIST-IO3-bite	‘A dog bit Maizer.’			
107	Svan	42	forfeit	X (lose) Y	лишаться	X (лишаться) Y-а		ERG	NOM	TR	TR		maizer-d larda-lazga ad-Ø-karw-e	PN-ERG room-house-NOM PRV:DIST-DO3-lose-PST	‘Maizer lost (his) house.’			
107	Svan	43	try_to_catch	X (try to catch) Y	ловить	X (ловить) Y(-а)		ERG	NOM	TR	TR		maizer-Ø cicw-s Ø-i-rm-i	PN-NOM cat-DAT DO3-VER:S-catch-PRS	‘Maizer is trying to catch a cat.’			
107	Svan	44	break	X (break) Y	ломать	X (ломать) Y		ERG	NOM	TR	TR		maizer-d pawa-Ø a-Ø-q'wič	PN-ERG stick-NOM PRV:DIST-DO3-break	‘Maizer broke a stick.’			
107	Svan	45	flatter	X (flatter) Y	льстить	X (льстить) Y-у		NOM	DAT	Y	NOM_DAT		maizer-Ø lile-s x-e-lmes-ieːl	PN-NOM PN-DAT IO3-VER:R-praise-VPL	‘Maizer flatters Lile.’			
107	Svan	46	love1	X (love) Y	любить-1	X (любить) Y-а (сына)		DAT	NOM	X	DAT_NOM		maizer-s lile-Ø x-a-lät'	PN-DAT PN-NOM IO3-VER:SUP-love	‘Maizer loves Lile.’			Same as 119.
107	Svan	47	wave	X (wave) Y	махать	X (махать) Y-ом		ERG	NOM	TR	TR		maizer-Ø laqwc'äːn-s Ø-a-käːwin-e	PN-NOM handkerchief-DAT DO3-FACT-wave-PRS	‘Maizer is waving a handkerchief.’			
107	Svan	48	dream	X (dream) of Y	мечтать	X (мечтать) об Y-е		NOM	DAT	Y	NOM_DAT		maizer-Ø axne mankana-s Ø-i-wd-i	PN-NOM new car-DAT DO3-VER:S-dream-PRS	‘Maizer dreams of a new car.’			
107	Svan	49	wash	X (wash) Y	мыть	X (мыть) Y		ERG	NOM	TR	TR		maizer-d č'ika-Ø a-Ø-šq'wed	PN-ERG cup-NOM PRV:DIST-DO3-wash	‘Maizer washed the cup.’			
107	Svan	50	put_on	X (put_on) Y	надевать	X (надевать) Y		ERG	NOM	TR	TR		maizer-d šarwal-Ø sga-lä-Ø-i-kw-e	PN-ERG trousers-NOM PRV:INWARD-PRV:SLIGHTLY-DO3-VER:S-put_on-PST	‘Maizer put on (his) trousers.’			
107	Svan	51	be_called	X (be_called) Y	называться	X (называться) Y		DAT	NOM	X	DAT_NOM		ala-s k'omp'as-Ø x-a-žx-a	DEM.PROX-DAT compass-NOM IO3-VER:SUP-be_called-PRS	‘This (thing) is called “a compass”.’			
107	Svan	52	punish	X (punish) Y	наказывать	X (наказывать) Y-а	*	*	*	*		No satisfactory translation has been obtained.						
107	Svan	53	attack	X (attack) Y	напасть	X (нападать) на Y-а		NOM	DAT	Y	NOM_DAT		metxwiär-s däšdw-Ø la-x-kaːl-äːn	hunter-DAT bear-NOM PRV:SLIGHTLY-IO3-fly-VPL	‘A bear attacked (lit. ‘flew/rushed upon’) a hunter.’			
107	Svan	54	fill#intr#	X (fill) with Y	наполняться	X (наполняться) Y-ом		NOM	INS	Y	NOM_INS		γwedra-Ø nahäːndwiːr-wš an-Ø-gweš-läːn	bucket-NOM rain_water-INS PRV:PROX-S3-fill-VPL	‘The bucket got filled with rain water.’			
107	Svan	55	find	X (find) Y	находить	X (находить) Y(-а)		ERG	NOM	TR	TR		maizer-d k'ǝl-är-Ø ž-än-Ø-tx-e	PN-ERG key-PL-NOM PRV:UPWARD-PRV:PROX-DO3-find-PST	‘Maizer found (his) keys.’			Also: ‘Chelo saw his keys.’
107	Svan	56	be_short	X (be short) Y	недоставать	X-у (недоставать) Y-a		DAT	NOM	X	DAT_NOM		maizer-s ešxu lar-Ø x-a-k'l-i	PN-DAT one Lari-NOM IO3-VER:SUP-be_short-PRS	‘Maizer is short of one Lari.’			
107	Svan	57	hate	X (hate) Y	ненавидеть	X (ненавидеть) Y-а		DAT	NOM	X	DAT_NOM		maizer-s gegi-Ø x-ä-sisg	PN-DAT PN-NOM IO3-VER:SUP-hate	‘Maizer hates Gegi.’			Same as 126. 
107	Svan	58	like	X (like) Y	нравиться	X-у (нравиться) Y		DAT	NOM	X	DAT_NOM		maizer-s al pupäik'a-Ø xoča-Ø x-a-bž-a	PN-DAT jersey-NOM good-NOM IO3-VER:SUP-deem-PRS	‘Maizer likes this jersey (lit. ‘This jersey seems good to Miazer’).’			
107	Svan	59	need	X (need) Y	нуждаться	X (нуждаться) в Y-е		DAT	NOM	X	DAT_NOM		maizer-s warčxil-Ø x-a-c'ǝx	PN-DAT money-NOM IO3-VER:SUP-need	‘Maizer needs money.’			
107	Svan	60	surround	X (surround) Y	окружать	X (окружать) Y (стена город)		DAT	NOM	X	DAT_NOM	This root is used to mark alienable possession.	xäzw-s gǝrkäːnd qwila-Ø x-aː-r	yard-DAT around stone_fence-NOM IO3-VER:SUP-have 	‘The stone wall surrounds the yard (lit. ‘The yard has a stone wall around’).’			
107	Svan	61	remain	X (have) Y left	оставаться	у X-а (оставаться) Y		DAT	NOM	X	DAT_NOM		maizer-s ješwd lar-Ø ot-Ø-säd	PN-DAT ten Lari-NOM PRV:DIST.VER:O-IO3-remain	‘Maizer has ten Laris left.’			
107	Svan	62	answer	X (answer) Y	отвечать	X (отвечать) Y-у		ERG	DAT	Y	ERG_DAT		maizer-d wičit'el-s la-x-t'ix	PN-ERG teacher-DAT PRV:SLIGHTLY-IO3-return	‘Maizer answered (lit. ‘returned to’) the teacher.’			
107	Svan	63	open	X (open) Y	открывать	X (открывать) Y		ERG	NOM	TR	TR		maizer-d bank'a-Ø a-Ø-pišg	PN-ERG jar-NOM PRV:DIST-DO3-open	‘Maizer opened a jar.’			
107	Svan	64	be_different	X (be different) from Y	отличаться	X (отличаться) от Y-а		NOM	ABL.EL	Y	NOM_ABL.EL	The translation, albeit grammatically correct, sounds somewhat artificial.	al č'ik-Ø eǯ č'ik-xän-ka naxumsäːr-Ø l-i	DEM.PROX cup-NOM DEM.DIST cup-ABL-EL particular-NOM S3-be	‘This cup is different from that cup.’			
107	Svan	65	fall_behind	X (fall behind) Y	отстать	X (отставать) от Y-а		NOM	DAT	Y	NOM_DAT		maizer-Ø gegi-s č-o-x-säːd	PN-NOM PN-DAT PRV:DOWNWARD-VER:O-IO3-remain	‘Maizer fell behind Gegi.’			
107	Svan	66	plough	X (plough) Y	пахать	X (пахать) Y		ERG	NOM	TR	TR		maizer-Ø dab-s Ø-a-qn-i	PN-NOM field-DAT DO3-FACT-plough-PRS	‘Maizer is ploughing the field.’			
107	Svan	67	smell	X (smell) like / of Y	пахнуть	X (пахнуть) Y-ом		DAT	NOM	X	DAT_NOM		mišgu ši-är-s benzin-i kwin-Ø x-o-qan	POSS1 hand-PL-DAT gasoline-GEN smell-NOM IO3-VER:O-hit	‘My hands reek of gasoline.’			
107	Svan	68	cross	X (cross) Y	пересечь	X (пересекать) Y (улицу) 		NOM	EL	Y	NOM_EL		maizer-Ø šuk'w-ka a-Ø-čäd	PN-NOM road-EL PRV:DIST-S3-go	‘Maizer crossed the road (lit. ‘Maizer went over the road’).’			
107	Svan	69	sing	X (sing) Y	петь	X (петь) Y		ERG	NOM	TR	TR		maizer-d xoča liγral-Ø lä-Ø-γir-aːl-e	PN-ERG good song-NOM PRV:SLIGHTLY.VER:S-DO3-sing-PST	‘Maizer sang a good song.’			
107	Svan	70	write	X (write) Y	писать	X (писать) Y		ERG	NOM	TR	TR		maizer-d c'eril-Ø ad-Ø-iːr-e	PN-ERG letter-NOM PRV:SLIGHTLY-DO3-write-PST	‘Maizer wrote a letter.’			
107	Svan	71	drink	X (drink) Y	пить	X (пить) Y		ERG	NOM	TR	TR		maizer-d lǝǯe-Ø la-Ø-iː-š	PN-ERG milk-NOM PRV:SLIGHTLY-DO3-VER:S-drink	‘Maizer drank the milk.’			
107	Svan	72	melt	X (melt) Y	плавить	X (плавить) Y		ERG	NOM	TR	TR		maizer-d cxwia nakic-Ø ad-Ø-hin-e	PN-ERG lead piece-NOM PRV:DIST-DO3-melt-PST	‘Maizer melted a piece of lead.’			
107	Svan	73	match	X (match) Y	подходить	X (подходить) к Y-у (пояс к платью)		NOM	DAT	Y	NOM_DAT		al lärdq'-Ø mišgu k'aba-s x-e-sg-u	DEM.PROX belt-NOM POSS1 dress-DAT IO3-VER:R-match-PRS	‘This belt matches my dress.’			
107	Svan	74	leave	X (leave) Y	покидать	X (покидать) Y(-а)		ERG	NOM	TR	TR		maizer-d lent'ex-Ø ka-la-x-cwir	PN-ERG Lent'exi-NOM PRV:OUTWARD-PRV:SLIGHTLY-IO3-leave	‘Maizer left Lent'exi for good.’			
107	Svan	75	cover	X (cover) Y	покрывать	X (покрывать) Y		ERG	NOM	TR	TR		č'äm-Ø p'ol-s a-l-päːr-i	hay-NOM floor-DAT PRV:DIST-S3-cover-PRS	‘The hay covers the floor.’			
107	Svan	76	remember	X (remember) Y	помнить	X (помнить) Y-а		DAT	NOM	X	DAT_NOM		maizer-s kor-Ø xoča-Ø a-Ø-mt'q'ašq'id	PN-DAT house-NOM good-NOM PRV:DIST-IO3-remember	‘Maizer remembers the house well.’			
107	Svan	77	help	X (help) Y	помочь	X (помогать) Y-у		ERG	DAT	Y	ERG_DAT		maizer-d gegi-s lo-x-murǯ-e	PN-ERG PN-DAT PRV:SLIGHTLY.VER:O-IO3-help-PST	‘Maizer helped Gegi.’			
107	Svan	78	understand	X (understand) Y	понимать	X (понимать) Y		DAT	NOM	X	DAT_NOM		maizer-s lǝznu nin-Ø x-e-sm-i	PN-DAT Megrelian language-NOM IO3-VER:R-hear-PRS	‘Maizer does not understand Megrelian.’			Same verb root as in 93.
107	Svan	79	hit#target#	X (hit) Y	попасть	X (попадать) в Y (молния в дом)		NOM	DAT	Y	NOM_DAT		kor-s xel-Ø x-e-jäx	house-DAT lightning-NOM IO3-VER:SUP-fall_upon	‘Lightning struck (lit. ‘fell upon’) the house.’			
107	Svan	80	cut_oneself	X (cut oneself) with Y	порезаться	X (резаться) Y-ом		ERG	INS	Y	ERG_INS	The mentioning of the word ‘face’ here is obligatory.	maizer-d lac'bural-wš ničw-Ø äd-Ø-kwic	PN-ERG razor-INS face-NOM PRV:DIST.VER:S-DO3-cut	‘Maizer cut himself (lit. ‘cut his face’) with a razor.’			
107	Svan	81	get_stuck	X (get stuck) to Y	прилипать	X (прилипать) к Y-у		NOM	DAT	Y	NOM_DAT		č'ik-Ø st'ol-s la-x-p'ont'q'-äːn	cup-NOM table-DAT PRV:SLIGHTLY-IO3-stick-PST	‘The cup got stuck to the table.’			
107	Svan	82	lose#game#	X (lose) to Y	проиграть	X (проиграть) Y-у		NOM	DAT	Y	NOM_DAT	There is no dedicated lexical item meaning ‘lose (a game).’	maizer-Ø gegi-s deš a-x-c'ind-a	PN-NOM PN-DAT NEG.POT PRV:DIST-IO3-win-PST	‘Maizer failed to win against Gegi.’			
107	Svan	83	be_glad	X (be glad) about Y	радоваться	X (радоваться) Y-у		DAT	NOM	X	DAT_NOM		maizer-s c'eril-Ø ad-x-iːd-ǝn	PN-DAT letter-NOM PRV:DIST-IO3-be_glad-PST	‘Maizer was glad about the letter.’			
107	Svan	84	speak	X (speak) with Y	разговаривать	X (разговаривать) с Y-ом		NOM	DAT	Y	NOM_DAT		maizer-Ø lile-s x-a-gǝrg-äl-i	PN-NOM PN-DAT IO3-VER:SUP-talk-VPL-PRS	‘Maizer is talking to Lile.’			
107	Svan	85	give_birth	X (give birth) to Y	рожать	X (рожать) Y-а		ERG	NOM	TR	TR		lile-d č'q'int'-Ø an-Ø-taw-e	PN-ERG boy-NOM PRV:PROX-DO3-beget-PST	‘Lile begot a boy.’			
107	Svan	86	drop	X (drop) Y	ронять	X (ронять) Y		DAT	NOM	X	DAT_NOM		maizer-s č'ik-Ø č-ot-Ø-šq'äd	PN-DAT cup-NOM PRV:DOWNWARD-PRV:DIST.VER:O-IO3-drop	‘Maizer dropped the cup.’			
107	Svan	87	govern	X (govern) Y	руководить	X (руководить) Y		NOM	DAT	Y	NOM_DAT		maizer-Ø gušgwej sopel-s Ø-a-mǝrtäːw-i	PN-NOM POSS1PL.INCL village-DAT DO3-FACT-govern-PRS	‘Maizer governs our village.’			
107	Svan	88	miss	X (miss) Y	скучать	X (скучать) по Y-у		DAT	BEN	XY	DAT_BEN	Nominative lile-Ø is also possible.	maizer-s lile-šd x-a-c'wdun-i	PN-DAT PN-BEN IO3-VER:SUP-miss-PRS	‘Maizer misses Lile.’			
107	Svan	89	follow	X (follow) Y	следовать	X (следовать) за Y-ом		NOM	DAT	Y	NOM_DAT		maizer-Ø lile-s es-Ø-qer-i	PN-NOM PN-DAT PRV:DIST-IO3-follow-PRS	‘Maizer follows Lile.’			
107	Svan	90	dismount	X (get down) from Y	слезать	X (слезать) с Y-a (с лошади)		ERG	ABL.SUBL	Y	ERG_ABL.SUBL		maizer-d č'äž-xän-ču an-Ø-skin-e	PN-ERG horse-ABL-SUBL PRV:PROX-S3-hop-PST 	‘Maizer hopped down from the horse.’			
107	Svan	91	listen	X (listen) to Y	слушать	X (слушать) Y		NOM	DAT	Y	NOM_DAT		maizer-Ø radio-s x-o-hwnär-i	PN-NOM radio-DAT IO3-VER:O-listen-PRS	‘Maizer is listening to the radio.’			Same as 92.
107	Svan	92	obey	X (obey) Y	слушаться	X (слушаться) Y-a		ERG	DAT	Y	ERG_DAT		maizer-Ø dede-s čiγad x-o-ǯräw-i 	PN-NOM mother-DAT always IO3-VER:O-obey-PRS	‘Maizer obeys (his) mother.’			Same as 91.
107	Svan	93	hear	X (hear) Y	слышать	X (слышать) Y		DAT	NOM	X	DAT_NOM		maizer-s musik'a-Ø x-e-sm-i	PN-DAT music-NOM IO3-VER:R-hear-PRS	‘Maizer hears the music.’			Same verb root as in 78.
107	Svan	94	mix	X (get mixed) with Y	смешаться	X (смешаться) с Y-ом		NOM	DAT	Y	NOM_DAT		twil-Ø lǝǯe-s lä-x-načt-äːn	honey-NOM milk-DAT PRV:SLIGHTLY-IO3-mix-PST	‘The honey got mixed with milk.’			
107	Svan	95	look	X (look) at Y	смотреть	X (смотреть) на Y		NOM	DAT	Y	NOM_DAT		maizer-Ø dec-s x-o-sgd-i	PN-NOM sky-DAT IO3-VER:O-look_at-PRS	‘Maizer is looking at the skies.’			
107	Svan	96	take_off	X (take off) Y	снимать	X (снимать) Y (рубашку)		ERG	NOM	TR	TR		maizer-d pupäik'a-Ø k-aː-Ø-t'k'id	PN-ERG jersey-NOM PRV:OUTWARD-PRV:DIST-DO3-undress	‘Maizer took off (his) jersey.’			
107	Svan	97	dream#sleeping#	X (dream) about Y	сниться	X-у (сниться) Y		DAT	NOM	X	DAT_NOM		maizer-s lile-Ø x-eː-cnäw	PN-DAT PN-NOM	‘Maizer dreams about Lile.’			
107	Svan	98	agree	X (agree) with Y	соглашаться	X (соглашаться) с Y-ом		ERG	NOM	TR	TR		maizer-d lile-s aduː-Ø x-äː-kw-e	PN-ERG PN-DAT yes-NOM IO3-VER:SUP-tell-PST	‘Maizer agreed with Lile (lit. ‘Maizer told Lile “yes”’).’			
107	Svan	99	have_a_quarrel	X (have a quarrel) with Y	ссориться	X (ссориться) с кем Y		NOM	DAT	Y	NOM_DAT		maizer-Ø lile-s ä-x-cudː-a	PN-NOM PN-DAT PRV:DIST-IO3-quarrel-PST	‘Maizer had a quarrel with Lile.’			
107	Svan	100	cost	X (cost) Y	стоить	X (стоить) Y (один доллар)		NOM	NOM	Y	NOM_NOM		al č'ik-Ø ešxu lar-Ø x-a-ǯeš	DEM.PROX cup-NOM one Lari-NOM IO3-VER:SUP-resemble	‘This cup costs one Lari.’			
107	Svan	101	shoot_at	X (shoot) at Y	стрелять	X (стрелять) в Y-а		ERG	DAT	Y	ERG_DAT		maizer-d näp'ol-s a-x-pišwd	PN-ERG bird-DAT PRV:DIST-IO3-shoot	‘Maizer shot at the bird.’			Same verb as 4.
107	Svan	102	pour	X (pour) Y	сыпать	X (сыпать) Y		ERG	ALL.INESS	Y	ERG_ALL.INESS		maizer-d č'ik-te-isga šakär-Ø äd-Ø-šid	PN-ERG cup-ALL-INESS sugar-NOM PRV:DIST.VER:S-DO3-scatter	‘Maizer poured the sugar into the cup.’			
107	Svan	103	lose	X (lose) Y	терять	X (терять) Y		ERG	NOM	TR	TR		maizer-d k'ǝl-ar-Ø ad-Ø-karw-e	PN-ERG key-PL-NOM PRV:DIST-DO3-lose-PST	‘Maizer lost (his) keys.’			
